mem,nic,pr
0.291071429,0.099107143,0.134375
0.291071429,0.100892857,0.13125
0.291071429,0.100892857,0.13125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.134375
0.2875,0.099107143,0.134375
0.2875,0.099107143,0.1375
0.289285714,0.099107143,0.146875
0.289285714,0.099107143,0.146875
0.289285714,0.099107143,0.146875
0.289285714,0.099107143,0.14375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.1,0.134375
0.289285714,0.1,0.134375
0.289285714,0.1,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.1375
0.289285714,0.099107143,0.1375
0.289285714,0.099107143,0.1375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.128125
0.289285714,0.099107143,0.13125
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.134375
0.289285714,0.099107143,0.1375
0.289285714,0.098214286,0.1375
0.289285714,0.098214286,0.134375
0.289285714,0.098214286,0.134375
0.289285714,0.098214286,0.134375
0.292857143,0.098214286,0.134375
0.317857143,0.099107143,0.134375
0.280357143,0.100892857,0.134375
0.257142857,0.101785714,0.134375
0.280357143,0.102678571,0.13125
0.253571429,0.107142857,0.134375
0.169642857,0.116071429,0.11875
0.178571429,0.115178571,0.10625
0.283928571,0.096428571,0.1875
0.207142857,0.11875,0.334375
0.160714286,0.140178571,0.175
0.189285714,0.145535714,0.140625
0.264285714,0.073214286,0.3875
0.276785714,0.092857143,0.41875
0.294642857,0.102678571,0.384375
0.178571429,0.083035714,0.090625
0.1625,0.092857143,0.15625
0.292857143,0.105357143,0.35
0.280357143,0.113392857,0.3
0.307142857,0.074107143,0.1125
0.305357143,0.1,0.178125
0.285714286,0.111607143,0.2
0.292857143,0.103571429,0.184375
0.2375,0.095535714,0.1125
0.160714286,0.094642857,0.084375
0.078571429,0.092857143,0.103125
0.080357143,0.109821429,0.103125
0.103571429,0.116964286,0.155
0.098214286,0.107142857,0.209375
0.146428571,0.113392857,0.109375
0.208928571,0.103571429,0.153125
0.278571429,0.097321429,0.15
0.305357143,0.090178571,0.196875
0.303571429,0.090178571,0.209375
0.278571429,0.091071429,0.21875
0.303571429,0.119642857,0.134375
0.2125,0.107142857,0.096875
0.117857143,0.100892857,0.178125
0.166071429,0.10625,0.146875
0.198214286,0.105357143,0.1875
0.289285714,0.117857143,0.215625
0.283928571,0.125892857,0.18125
0.178571429,0.082142857,0.15625
0.067857143,0.095535714,0.15625
0.171428571,0.11875,0.140625
0.191071429,0.117857143,0.1375
0.148214286,0.097321429,0.090625
0.125,0.083035714,0.125
0.221428571,0.116071429,0.1625
0.208928571,0.125,0.171875
0.198214286,0.083928571,0.2125
0.228571429,0.1,0.21
0.194642857,0.139285714,0.20625
